appName,platform,channel,points,50,75,90,95,99,max
Thunderbird,WINNT,beta,1446,2,3,5,8,27,27
Thunderbird,WINNT,release,2,26,26,26,26,26,26
Thunderbird,WINNT,aurora,7,1,1,1,1,1,1
Thunderbird,WINNT,nightly,12,3,3,3,3,3,4
Thunderbird,WINNT,ALL,1467,2,3,5,8,27,27
Thunderbird,ALL,beta,1515,2,3,5,8,27,27
Thunderbird,ALL,release,2,26,26,26,26,26,26
Thunderbird,ALL,aurora,10,1,1,2,2,2,2
Thunderbird,ALL,nightly,12,3,3,3,3,3,4
Thunderbird,ALL,ALL,1539,2,3,5,8,27,27
Thunderbird,Darwin,beta,67,4,4,4,4,4,4
Thunderbird,Darwin,aurora,3,2,2,2,2,2,2
Thunderbird,Darwin,ALL,70,4,4,4,4,4,4
Thunderbird,Linux,beta,2,1,1,1,1,1,3
Thunderbird,Linux,ALL,2,1,1,1,1,1,3
Firefox,WINNT,ALL,10472433,3,5,8,11,19,273
Firefox,WINNT,aurora,365845,2,4,7,10,19,118
Firefox,WINNT,nightly,381179,2,4,7,10,20,98
Firefox,WINNT,beta,338447,3,5,9,12,22,273
Firefox,WINNT,OTHER,754586,3,6,11,14,21,103
Firefox,WINNT,release,8632376,3,5,7,10,18,185
Firefox,ALL,ALL,10859607,3,5,8,11,19,273
Firefox,ALL,aurora,375800,2,4,8,11,20,118
Firefox,ALL,nightly,390423,2,4,8,11,21,98
Firefox,ALL,beta,350866,3,5,9,12,23,273
Firefox,ALL,OTHER,774229,3,6,11,14,21,103
Firefox,ALL,release,8968289,3,5,8,10,18,185
Firefox,Darwin,ALL,364473,3,6,9,12,21,117
Firefox,Darwin,aurora,7953,4,8,13,18,29,88
Firefox,Darwin,nightly,4902,5,9,15,18,30,55
Firefox,Darwin,beta,11940,5,8,13,17,27,58
Firefox,Darwin,OTHER,14370,3,6,10,13,20,48
Firefox,Darwin,release,325308,3,5,9,12,20,117
Firefox,Linux,ALL,22701,4,8,16,23,35,112
Firefox,Linux,aurora,2002,5,10,18,23,38,51
Firefox,Linux,nightly,4342,6,10,17,21,29,94
Firefox,Linux,beta,479,9,21,30,35,47,54
Firefox,Linux,OTHER,5273,3,6,12,16,32,71
Firefox,Linux,release,10605,3,8,15,27,38,112
Fennec,Android,ALL,735437,0,0,2,3,6,36
Fennec,Android,aurora,7516,0,1,2,4,8,16
Fennec,Android,nightly,4285,0,1,3,4,9,21
Fennec,Android,beta,36041,0,1,3,4,9,29
Fennec,Android,OTHER,226,1,1,1,1,1,1
Fennec,Android,release,687369,0,0,2,3,6,36
